Monster	AttackStyle	XP/hr	GP/hr	Cost/hr	Profitability	XP	Options
Maniacal monkey	range	1.3m XP/hr	1.7m GP/hr	829.8k cost gp/hr	2.1	1240983	Chinning
Smoke Devil	mage-def	1m XP/hr	3.1m GP/hr	863.6k cost gp/hr	3.6	1004760	Barrage
Smoke Devil	mage	1m XP/hr	5.8m GP/hr	852k cost gp/hr	6.8	1004760	Barrage
Smoke Devil	mage	1.1m XP/hr	3.3m GP/hr	872k cost gp/hr	3.8	1004760	Barrage
Smoke Devil	mage-def	1m XP/hr	3.4m GP/hr	862.1k cost gp/hr	4.0	1004760	Barrage
Smoke Devil	mage-def	1m XP/hr	3.3m GP/hr	843.5k cost gp/hr	3.9	1004760	Barrage
Maniacal monkey	range-def	1m XP/hr	1.4m GP/hr	797.2k cost gp/hr	1.8	971099	Chinning
Reanimated Dragon	atk-str-def	774k XP/hr	0 GP/hr	2.1m cost gp/hr	0.0	776202	
Reanimated Dragon	atk-str-def	804.4k XP/hr	0 GP/hr	2.2m cost gp/hr	0.0	776202	
Reanimated Dragon	atk-str-def	816.1k XP/hr	0 GP/hr	2.2m cost gp/hr	0.0	776202	
Smoke Devil	mage-def	714k XP/hr	4.1m GP/hr	613.3k cost gp/hr	6.7	695603	Burst
Smoke Devil	mage	708.8k XP/hr	3.2m GP/hr	608.8k cost gp/hr	5.2	695603	Burst
Smoke Devil	mage	702k XP/hr	2.2m GP/hr	603k cost gp/hr	3.7	695603	Burst
Smoke Devil	mage-def	724k XP/hr	1.7m GP/hr	621.9k cost gp/hr	2.8	695603	Burst
Smoke Devil	mage-def	716.5k XP/hr	1.7m GP/hr	615.5k cost gp/hr	2.7	695603	Burst
Reanimated Dragon	range	669.1k XP/hr	0 GP/hr	1.9m cost gp/hr	0.0	661209	
Reanimated Dragon	mage	656.5k XP/hr	0 GP/hr	1.8m cost gp/hr	0.0	661209	
Reanimated Dragon	range-def	671.6k XP/hr	0 GP/hr	1.9m cost gp/hr	0.0	661209	
Reanimated Dragon	mage-def	664.9k XP/hr	0 GP/hr	1.9m cost gp/hr	0.0	661209	
Reanimated Dragon	range	658.9k XP/hr	0 GP/hr	1.9m cost gp/hr	0.0	661209	
Reanimated Dragon	mage	668.2k XP/hr	0 GP/hr	1.9m cost gp/hr	0.0	661209	
Reanimated Dragon	range-def	657.9k XP/hr	0 GP/hr	1.8m cost gp/hr	0.0	661209	
Reanimated Dragon	mage-def	661.3k XP/hr	0 GP/hr	1.9m cost gp/hr	0.0	661209	
Reanimated Dragon	range	689.5k XP/hr	0 GP/hr	1.9m cost gp/hr	0.0	661209	
Reanimated Dragon	mage	686.5k XP/hr	0 GP/hr	1.9m cost gp/hr	0.0	661209	
Reanimated Dragon	range-def	662.7k XP/hr	0 GP/hr	1.9m cost gp/hr	0.0	661209	
Reanimated Dragon	mage-def	678k XP/hr	0 GP/hr	1.9m cost gp/hr	0.0	661209	
Abyssal Demon	mage-def	638.3k XP/hr	2.1m GP/hr	1.1m cost gp/hr	1.8	615527	Barrage
Abyssal Demon	mage	639.9k XP/hr	5.5m GP/hr	1.2m cost gp/hr	4.8	615527	Barrage
Abyssal Demon	mage	613.4k XP/hr	3.7m GP/hr	1.1m cost gp/hr	3.3	615527	Barrage
Abyssal Demon	mage-def	624.1k XP/hr	3.6m GP/hr	1.1m cost gp/hr	3.2	615527	Barrage
Abyssal Demon	mage-def	635.4k XP/hr	2m GP/hr	1.1m cost gp/hr	1.7	615527	Barrage
Maniacal monkey	mage	626.1k XP/hr	856.3k GP/hr	234.3k cost gp/hr	3.7	583768	Barrage
Maniacal monkey	mage	598.3k XP/hr	794.7k GP/hr	223.9k cost gp/hr	3.5	583768	Barrage
Maniacal monkey	mage	617.2k XP/hr	950.6k GP/hr	231k cost gp/hr	4.1	583768	Barrage
Maniacal monkey	mage-def	624.5k XP/hr	800.9k GP/hr	233.8k cost gp/hr	3.4	583768	Barrage
Maniacal monkey	mage-def	623.3k XP/hr	813.9k GP/hr	233.3k cost gp/hr	3.5	583768	Barrage
Reanimated Abyssal	atk-str-def	597.4k XP/hr	0 GP/hr	1.9m cost gp/hr	0.0	571509	
Reanimated Abyssal	range	581.9k XP/hr	0 GP/hr	1.9m cost gp/hr	0.0	571509	
Reanimated Abyssal	mage	574.6k XP/hr	0 GP/hr	1.9m cost gp/hr	0.0	571509	
Reanimated Abyssal	range-def	594.2k XP/hr	0 GP/hr	1.9m cost gp/hr	0.0	571509	
Reanimated Abyssal	mage-def	588.9k XP/hr	0 GP/hr	1.9m cost gp/hr	0.0	571509	
Reanimated Abyssal	atk-str-def	598.7k XP/hr	0 GP/hr	1.9m cost gp/hr	0.0	571509	
Reanimated Abyssal	range	574.7k XP/hr	0 GP/hr	1.9m cost gp/hr	0.0	571509	
Reanimated Abyssal	mage	575.2k XP/hr	0 GP/hr	1.9m cost gp/hr	0.0	571509	
Reanimated Abyssal	range-def	600.3k XP/hr	0 GP/hr	2m cost gp/hr	0.0	571509	
Reanimated Abyssal	mage-def	572.3k XP/hr	0 GP/hr	1.9m cost gp/hr	0.0	571509	
Reanimated Abyssal	atk-str-def	585.6k XP/hr	0 GP/hr	1.9m cost gp/hr	0.0	571509	
Reanimated Abyssal	range	599.2k XP/hr	0 GP/hr	1.9m cost gp/hr	0.0	571509	
Reanimated Abyssal	mage	577k XP/hr	0 GP/hr	1.9m cost gp/hr	0.0	571509	
Reanimated Abyssal	range-def	569.8k XP/hr	0 GP/hr	1.9m cost gp/hr	0.0	571509	
Reanimated Abyssal	mage-def	578.3k XP/hr	0 GP/hr	1.9m cost gp/hr	0.0	571509	
Reanimated Aviansie	atk-str-def	571.2k XP/hr	0 GP/hr	1.9m cost gp/hr	0.0	548739	
Reanimated Aviansie	range	555.6k XP/hr	0 GP/hr	1.9m cost gp/hr	0.0	548739	
Reanimated Aviansie	mage	559.2k XP/hr	0 GP/hr	1.9m cost gp/hr	0.0	548739	
Reanimated Aviansie	range-def	551.6k XP/hr	0 GP/hr	1.9m cost gp/hr	0.0	548739	
Reanimated Aviansie	mage-def	571.5k XP/hr	0 GP/hr	1.9m cost gp/hr	0.0	548739	
Reanimated Aviansie	atk-str-def	576.1k XP/hr	0 GP/hr	2m cost gp/hr	0.0	548739	
Reanimated Aviansie	range	555.9k XP/hr	0 GP/hr	1.9m cost gp/hr	0.0	548739	
Reanimated Aviansie	mage	565.5k XP/hr	0 GP/hr	1.9m cost gp/hr	0.0	548739	
Reanimated Aviansie	range-def	573.1k XP/hr	0 GP/hr	1.9m cost gp/hr	0.0	548739	
Reanimated Aviansie	mage-def	564.6k XP/hr	0 GP/hr	1.9m cost gp/hr	0.0	548739	
Reanimated Aviansie	atk-str-def	564k XP/hr	0 GP/hr	1.9m cost gp/hr	0.0	548739	
Reanimated Aviansie	range	548.3k XP/hr	0 GP/hr	1.9m cost gp/hr	0.0	548739	
Reanimated Aviansie	mage	545.3k XP/hr	0 GP/hr	1.8m cost gp/hr	0.0	548739	
Reanimated Aviansie	range-def	556.2k XP/hr	0 GP/hr	1.9m cost gp/hr	0.0	548739	
Reanimated Aviansie	mage-def	557.5k XP/hr	0 GP/hr	1.9m cost gp/hr	0.0	548739	
Dust Devil	mage-def	567.1k XP/hr	2.6m GP/hr	827.9k cost gp/hr	3.2	545013	Barrage
Dust Devil	mage	545.8k XP/hr	2.7m GP/hr	796.8k cost gp/hr	3.4	545013	Barrage
Dust Devil	mage	562k XP/hr	2.9m GP/hr	820.4k cost gp/hr	3.6	545013	Barrage
Dust Devil	mage-def	567.7k XP/hr	2.9m GP/hr	828.7k cost gp/hr	3.6	545013	Barrage
Dust Devil	mage-def	547.8k XP/hr	2.8m GP/hr	799.8k cost gp/hr	3.5	545013	Barrage
Reanimated Hellhound	atk-str-def	541.9k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	525969	
Reanimated Hellhound	range	537.9k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	525969	
Reanimated Hellhound	mage	535.7k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	525969	
Reanimated Hellhound	range-def	537.1k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	525969	
Reanimated Hellhound	mage-def	534.7k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	525969	
Reanimated Hellhound	atk-str-def	525k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	525969	
Reanimated Hellhound	range	527.9k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	525969	
Reanimated Hellhound	mage	533.1k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	525969	
Reanimated Hellhound	range-def	550.2k XP/hr	0 GP/hr	1.4m cost gp/hr	0.0	525969	
