|                    Item name                    |                                                                                     Input Items                                                                                      |                                                                                     Output Items                                                                                     | GP Cost |
|-------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|---------|
|                                  Godsword blade |                                                            1x Godsword shard 1, 1x Godsword shard 2, 1x Godsword shard 3                                                             | 1x Godsword blade                                                                                                                                                                    |       0 |
|                                Armadyl godsword |                                                                          1x Armadyl hilt, 1x Godsword blade                                                                          | 1x Armadyl godsword                                                                                                                                                                  |       0 |
|                                 Bandos godsword |                                                                          1x Bandos hilt, 1x Godsword blade                                                                           | 1x Bandos godsword                                                                                                                                                                   |       0 |
|                              Saradomin godsword |                                                                         1x Godsword blade, 1x Saradomin hilt                                                                         | 1x Saradomin godsword                                                                                                                                                                |       0 |
|                                Zamorak godsword |                                                                          1x Godsword blade, 1x Zamorak hilt                                                                          | 1x Zamorak godsword                                                                                                                                                                  |       0 |
|                                Infernal pickaxe |                                                                       1x Dragon pickaxe, 1x Smouldering stone                                                                        | 1x Infernal pickaxe                                                                                                                                                                  |       0 |
|                                Malediction ward |                                                        1x Malediction shard 1, 1x Malediction shard 2, 1x Malediction shard 3                                                        | 1x Malediction ward                                                                                                                                                                  |       0 |
|                                      Odium ward |                                                                 1x Odium shard 1, 1x Odium shard 2, 1x Odium shard 3                                                                 | 1x Odium ward                                                                                                                                                                        |       0 |
|                                     Crystal key |                                                                      1x Loop half of key, 1x Tooth half of key                                                                       | 1x Crystal key                                                                                                                                                                       |       0 |
|                                     Master clue |                                            1x Clue scroll (easy), 1x Clue scroll (elite), 1x Clue scroll (hard), 1x Clue scroll (medium)                                             | 1x Clue scroll (master)                                                                                                                                                              |       0 |
|                                    Infernal axe |                                                                         1x Dragon axe, 1x Smouldering stone                                                                          | 1x Infernal axe                                                                                                                                                                      |       0 |
|                                Infernal harpoon |                                                                       1x Dragon harpoon, 1x Smouldering stone                                                                        | 1x Infernal harpoon                                                                                                                                                                  |       0 |
|                                   Hell cat ears |                                                                               1x Cat ears, 1x Red dye                                                                                | 1x Hell cat ears                                                                                                                                                                     |       0 |
|                                     Small pouch |                                                                                       No items                                                                                       | 1x Small pouch                                                                                                                                                                       |       0 |
|                                    Medium pouch |                                                                                       No items                                                                                       | 1x Medium pouch                                                                                                                                                                      |       0 |
|                                     Large pouch |                                                                                       No items                                                                                       | 1x Large pouch                                                                                                                                                                       |       0 |
|                                     Giant pouch |                                                                                       No items                                                                                       | 1x Giant pouch                                                                                                                                                                       |       0 |
|                                  Colossal pouch |                                                  1x Abyssal needle, 1x Giant pouch, 1x Large pouch, 1x Medium pouch, 1x Small pouch                                                  | 1x Colossal pouch                                                                                                                                                                    |       0 |
|                           Blessed spirit shield |                                                                           1x Holy elixir, 1x Spirit shield                                                                           | 1x Blessed spirit shield                                                                                                                                                             |       0 |
|                          Spectral spirit shield |                                                                     1x Blessed spirit shield, 1x Spectral sigil                                                                      | 1x Spectral spirit shield                                                                                                                                                            |       0 |
|                            Arcane spirit shield |                                                                      1x Arcane sigil, 1x Blessed spirit shield                                                                       | 1x Arcane spirit shield                                                                                                                                                              |       0 |
|                           Elysian spirit shield |                                                                      1x Blessed spirit shield, 1x Elysian sigil                                                                      | 1x Elysian spirit shield                                                                                                                                                             |       0 |
|                                       Holy book |                                                  1x Saradomin page 1, 1x Saradomin page 2, 1x Saradomin page 3, 1x Saradomin page 4                                                  | 1x Holy book                                                                                                                                                                         |       0 |
|                                 Book of balance |                                                        1x Guthix page 1, 1x Guthix page 2, 1x Guthix page 3, 1x Guthix page 4                                                        | 1x Book of balance                                                                                                                                                                   |       0 |
|                                     Unholy book |                                                      1x Zamorak page 1, 1x Zamorak page 2, 1x Zamorak page 3, 1x Zamorak page 4                                                      | 1x Unholy book                                                                                                                                                                       |       0 |
|                                     Book of law |                                                      1x Armadyl page 1, 1x Armadyl page 2, 1x Armadyl page 3, 1x Armadyl page 4                                                      | 1x Book of law                                                                                                                                                                       |       0 |
|                                     Book of war |                                                        1x Bandos page 1, 1x Bandos page 2, 1x Bandos page 3, 1x Bandos page 4                                                        | 1x Book of war                                                                                                                                                                       |       0 |
|                                Book of darkness |                                                      1x Ancient page 1, 1x Ancient page 2, 1x Ancient page 3, 1x Ancient page 4                                                      | 1x Book of darkness                                                                                                                                                                  |       0 |
|                               Ava's accumulator |                                                                                   75x Steel arrow                                                                                    | 1x Ava's accumulator                                                                                                                                                                 |       0 |
|                                 Ava's assembler |                                                              1x Ava's accumulator, 75x Mithril arrow, 1x Vorkath's head                                                              | 1x Ava's assembler                                                                                                                                                                   |       0 |
|                                Dragon sq shield |                                                                      1x Shield left half, 1x Shield right half                                                                       | 1x Dragon sq shield                                                                                                                                                                  |       0 |
|                               Dragon kiteshield |                                                          1x Dragon metal shard, 1x Dragon metal slice, 1x Dragon sq shield                                                           | 1x Dragon kiteshield                                                                                                                                                                 |       0 |
|                                Dragon platebody |                                                           1x Dragon chainbody, 1x Dragon metal lump, 1x Dragon metal shard                                                           | 1x Dragon platebody                                                                                                                                                                  |       0 |
|                                    Coconut milk |                                                                                 1x Coconut, 1x Vial                                                                                  | 1x Coconut milk, 1x Coconut shell                                                                                                                                                    |       0 |
|                                Zamorakian hasta |                                                                                 1x Zamorakian spear                                                                                  | 1x Zamorakian hasta                                                                                                                                                                  |  300000 |
|                                    Ultracompost |                                                                           1x Supercompost, 2x Volcanic ash                                                                           | 1x Ultracompost                                                                                                                                                                      |       0 |
|                                     Tomatoes(5) |                                                                                      5x Tomato                                                                                       | 1x Tomatoes(5)                                                                                                                                                                       |       0 |
|                                          Tomato |                                                                                    1x Tomatoes(5)                                                                                    | 5x Tomato                                                                                                                                                                            |       0 |
|                                       Apples(5) |                                                                                   5x Cooking apple                                                                                   | 1x Apples(5)                                                                                                                                                                         |       0 |
|                                   Cooking apple |                                                                                     1x Apples(5)                                                                                     | 5x Cooking apple                                                                                                                                                                     |       0 |
|                                      Bananas(5) |                                                                                      5x Banana                                                                                       | 1x Bananas(5)                                                                                                                                                                        |       0 |
|                                          Banana |                                                                                    1x Bananas(5)                                                                                     | 5x Banana                                                                                                                                                                            |       0 |
|                                 Strawberries(5) |                                                                                    5x Strawberry                                                                                     | 1x Strawberries(5)                                                                                                                                                                   |       0 |
|                                      Strawberry |                                                                                  1x Strawberries(5)                                                                                  | 5x Strawberry                                                                                                                                                                        |       0 |
|                                      Oranges(5) |                                                                                      5x Orange                                                                                       | 1x Oranges(5)                                                                                                                                                                        |       0 |
|                                          Orange |                                                                                    1x Oranges(5)                                                                                     | 5x Orange                                                                                                                                                                            |       0 |
|                                    Potatoes(10) |                                                                                      10x Potato                                                                                      | 1x Potatoes(10)                                                                                                                                                                      |       0 |
|                                          Potato |                                                                                   1x Potatoes(10)                                                                                    | 10x Potato                                                                                                                                                                           |       0 |
|                                      Onions(10) |                                                                                      10x Onion                                                                                       | 1x Onions(10)                                                                                                                                                                        |       0 |
|                                           Onion |                                                                                    1x Onions(10)                                                                                     | 10x Onion                                                                                                                                                                            |       0 |
|                                    Cabbages(10) |                                                                                     10x Cabbage                                                                                      | 1x Cabbages(10)                                                                                                                                                                      |       0 |
